Average Rating,Director,Writer,Country of Origin,Languages,Runtime,Release Year
4.564833695414966,711,3851,678,87,0.1454941828884624,-0.032611485211408255
4.564833695414966,2620,2884,384,801,0.1454941828884624,1.1601942312087457
4.291016120913624,703,2592,678,317,0.1454941828884624,-0.6687745339688237
4.291016120913624,661,4123,568,1064,-0.2101503435351235,-0.788055105610839
4.291016120913624,1962,3286,303,87,0.1454941828884624,0.24570984861996098
4.0171985464122875,199,3919,297,720,19.350298609762103,1.0409136595667303
4.0171985464122875,1256,3193,297,1058,0.5011387093120483,-1.5037385354629313
3.743380971910951,433,2098,775,376,0.1454941828884624,0.5240311824513302
3.743380971910951,2321,4027,678,271,0.5011387093120483,-0.07237167575874671
3.743380971910951,2263,3307,678,87,-0.2101503435351235,-1.5037385354629313
3.743380971910951,703,1220,678,332,0.5011387093120483,-0.6290143434214852
3.743380971910951,1868,1689,427,420,0.5011387093120483,0.36499042026197637
3.743380971910951,2171,3811,297,859,0.1454941828884624,-0.15189205685342363
3.743380971910951,2372,3969,20,16,-0.2101503435351235,0.8421127068300379
3.469563397409614,1868,1689,428,463,0.1454941828884624,0.28547003916729946
3.469563397409614,1918,3221,678,478,0.1454941828884624,-0.032611485211408255
3.469563397409614,2549,2838,41,937,0.1454941828884624,1.1601942312087457
3.469563397409614,672,4313,678,87,1.9237168150063917,0.8421127068300379
3.469563397409614,1681,1474,402,2,0.5011387093120483,-0.7482949150635005
3.469563397409614,1273,4359,568,1064,-0.2101503435351235,0.9216330879247149
3.469563397409614,134,3926,20,16,0.1454941828884624,1.1601942312087457
3.469563397409614,661,3566,568,1064,-0.2101503435351235,-0.788055105610839
3.469563397409614,2255,8,297,859,0.1454941828884624,-0.23141243794810057
3.1957458229082776,433,733,775,338,0.1454941828884624,0.6035515635460071
3.1957458229082776,523,740,262,87,0.1454941828884624,0.16618946752528405
3.1957458229082776,2070,4324,678,87,0.1454941828884624,0.762592325735361
3.1957458229082776,2504,4163,297,717,0.1454941828884624,1.120434040661407
3.1957458229082776,2213,2469,375,758,0.1454941828884624,-1.0266162488948698
3.1957458229082776,1868,1689,427,464,0.1454941828884624,0.3252302297146379
3.1957458229082776,1729,3360,586,87,0.1454941828884624,0.6433117540933456
3.1957458229082776,874,2311,384,801,-0.2101503435351235,1.0409136595667303
3.1957458229082776,1730,113,586,87,0.1454941828884624,0.6035515635460071
3.1957458229082776,1553,4402,384,821,0.5011387093120483,-1.3446977732735774
3.1957458229082776,2088,3478,297,859,0.1454941828884624,1.0409136595667303
3.1957458229082776,607,1013,810,992,-0.2101503435351235,-0.3109328190427775
3.1957458229082776,2273,1013,810,981,-0.2101503435351235,-0.5097337717794698
3.1957458229082776,1458,2509,297,1048,0.1454941828884624,1.0806738501140687
3.1957458229082776,1469,38,297,889,0.1454941828884624,0.8421127068300379
3.1957458229082776,661,1618,568,1064,-0.2101503435351235,-0.7482949150635005
3.1957458229082776,2493,4150,297,1057,0.1454941828884624,0.9216330879247149
3.1957458229082776,1580,342,20,16,0.1454941828884624,0.5637913729986687
3.1957458229082776,2171,3812,297,859,0.1454941828884624,-0.3109328190427775
3.1957458229082776,178,290,297,16,0.1454941828884624,1.0806738501140687
3.1957458229082776,2508,4103,297,1057,0.5011387093120483,0.24570984861996098
2.9219282484069358,433,2096,776,87,0.1454941828884624,0.762592325735361
2.9219282484069358,1544,2915,678,312,0.1454941828884624,0.9613932784720532
2.9219282484069358,1365,2425,679,87,0.1454941828884624,0.16618946752528405
2.9219282484069358,1658,2368,678,87,0.1454941828884624,-0.7085347245161621
2.9219282484069358,940,2389,678,87,0.1454941828884624,-0.5892541528741467
2.9219282484069358,2347,3936,312,1048,0.1454941828884624,1.0409136595667303
2.9219282484069358,1918,3222,678,344,0.8567832357356342,0.4445108013566533
2.9219282484069358,1186,2087,678,150,-0.2101503435351235,-0.43021339068479286
2.9219282484069358,180,291,297,1057,0.1454941828884624,1.1601942312087457
2.9219282484069358,571,3278,297,1057,-0.2101503435351235,1.1601942312087457
2.9219282484069358,2328,3893,297,1048,0.1454941828884624,1.0011534690193917
2.9219282484069358,443,3781,145,675,2.6350058678535633,-0.39045320013745444
2.9219282484069358,1333,2292,297,825,0.1454941828884624,1.0806738501140687
2.9219282484069358,600,4408,479,990,0.1454941828884624,1.0409136595667303
2.9219282484069358,1482,391,297,1048,0.1454941828884624,-0.3109328190427775
2.9219282484069358,1461,2515,297,734,0.1454941828884624,1.0806738501140687
2.9219282484069358,1398,2396,297,915,0.1454941828884624,1.0806738501140687
2.9219282484069358,682,2516,297,859,0.1454941828884624,-0.07237167575874671
2.9219282484069358,1958,3276,297,1048,0.1454941828884624,0.9613932784720532
2.9219282484069358,661,3565,568,1064,-0.2101503435351235,-0.7085347245161621
2.9219282484069358,2273,1013,810,992,-0.2101503435351235,-0.5892541528741467
2.9219282484069358,1509,2585,297,1048,0.1454941828884624,0.9216330879247149
2.9219282484069358,280,2198,297,1048,0.1454941828884624,-0.11213186630608518
2.9219282484069358,874,2311,384,801,0.1454941828884624,1.0011534690193917
2.9219282484069358,922,3291,297,859,0.5011387093120483,-0.07237167575874671
2.9219282484069358,226,3016,568,1064,-0.2101503435351235,-0.6687745339688237
2.9219282484069358,1721,4359,568,1064,-0.2101503435351235,1.0409136595667303
2.9219282484069358,1780,3565,568,1064,-0.2101503435351235,-0.6687745339688237
2.9219282484069358,661,3566,568,1064,-0.2101503435351235,-0.7482949150635005
2.9219282484069358,2346,2513,297,859,0.1454941828884624,-0.23141243794810057
2.6481106739055993,523,264,678,87,0.1454941828884624,0.007148705335930205
2.6481106739055993,1186,4024,678,363,-0.2101503435351235,-0.15189205685342363
2.6481106739055993,710,1212,678,150,0.1454941828884624,-1.901340440936316
2.6481106739055993,1107,3157,678,87,0.1454941828884624,1.120434040661407
2.6481106739055993,2321,3435,678,163,0.1454941828884624,0.16618946752528405
2.6481106739055993,711,3851,678,150,0.5011387093120483,0.20594965807262253
2.6481106739055993,694,559,41,937,0.1454941828884624,0.48427099190399175
2.6481106739055993,983,1734,714,472,0.1454941828884624,-0.15189205685342363
2.6481106739055993,770,1334,678,87,0.1454941828884624,-0.6687745339688237
2.6481106739055993,876,1535,396,801,0.1454941828884624,1.0011534690193917
2.6481106739055993,2071,4188,354,778,-0.2101503435351235,0.20594965807262253
2.6481106739055993,50,104,384,801,0.5011387093120483,-1.6230191071049467
2.6481106739055993,1553,4353,384,801,0.1454941828884624,-1.304937582726239
2.6481106739055993,2533,4200,297,717,0.1454941828884624,1.0806738501140687
2.6481106739055993,2232,3729,678,87,-0.2101503435351235,0.40475061080931485
2.6481106739055993,827,1426,38,941,-0.2101503435351235,0.20594965807262253
2.6481106739055993,1038,1810,297,825,0.1454941828884624,1.120434040661407
2.6481106739055993,281,462,445,947,0.1454941828884624,1.1601942312087457
2.6481106739055993,2283,4137,131,21,-0.2101503435351235,0.08666908643060713
2.6481106739055993,2333,2201,297,1048,0.1454941828884624,0.3252302297146379
2.6481106739055993,2628,4398,131,981,-0.2101503435351235,0.1264292769779456
2.6481106739055993,33,880,35,87,-0.2101503435351235,-0.9073356772528545
2.6481106739055993,1791,3019,297,859,0.1454941828884624,-0.3109328190427775
2.6481106739055993,278,3235,297,859,0.1454941828884624,0.007148705335930205
2.6481106739055993,2592,2483,145,155,0.8567832357356342,0.8023525162826994
2.6481106739055993,661,3565,568,1064,-0.2101503435351235,-0.867575486705516
2.6481106739055993,1917,3216,284,739,-0.2101503435351235,-0.6290143434214852
2.6481106739055993,661,3566,568,1064,-0.2101503435351235,-0.6687745339688237
2.6481106739055993,1913,3214,297,859,0.1454941828884624,-0.27117262849543905
2.6481106739055993,2515,4179,297,1048,0.1454941828884624,0.046908895883268666
2.374293099404263,2026,879,791,87,0.1454941828884624,0.20594965807262253
2.374293099404263,555,948,698,87,0.1454941828884624,1.1601942312087457
