Algorithm,Yapılandırma,Accuracy,Precision,Recall,F1-Score
KNN,k=3,0.5561122244488977,0.5505603119764876,0.5561122244488977,0.5526669592970822
KNN,k=7,0.5701402805611222,0.5580520980074455,0.5701402805611222,0.5601925298984973
KNN,k=11,0.5831663326653307,0.5669191782842278,0.5831663326653307,0.5656360997857784
MLP,"1 gizli katman, 32 nöron",0.5811623246492986,0.5253976456456888,0.5811623246492986,0.4685221595617633
MLP,"2 gizli katman, 32'şer nöron",0.593186372745491,0.5726424770236624,0.593186372745491,0.557998453736358
MLP,"3 gizli katman, 32'şer nöron",0.5390781563126252,0.5272595924540556,0.5390781563126252,0.5305937351887877
Naive Bayes,Varsayılan,0.6142284569138277,0.691937646737385,0.6142284569138277,0.5050112353547418
